scorer,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke,Luke
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,middle,middle,tail,tail,head,head,middle,middle,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
35,3.7978558358406977,1.0,2.9861980777101564,1.0,4.608604701539044,0.9990000128746033,,,,,,,2.4334751929453713,1.0,2.7789284969798196,1.0,0.9137552882137709,1.0,6.9631575519997835,0.9919999837875366,2.0938450696226005,0.9620000123977661,0.12793661789351457,0.9760000109672546,1.0842662869286535,0.9950000047683716,4.799954414080726,0.9850000143051147,2.9410263837277464,0.9980000257492065
36,3.375749551138432,1.0,5.074643614621993,1.0,2.546343312927146,0.9990000128746033,,,,,,,1.9453355465456403,1.0,3.7208597490088926,1.0,1.175613042597861,1.0,4.297435287430493,0.9909999966621399,12.699867785027857,0.8629999756813049,0.3448711070952032,0.9649999737739563,1.5289926051461582,0.9959999918937683,8.16685951327222,0.984000027179718,1.6015667394939235,0.996999979019165
37,5.407981280875638,1.0,3.1269410450467245,0.9990000128746033,3.5538825330100168,0.9990000128746033,,,,,,,2.2789106429209,1.0,1.2477997702372168,1.0,1.424665160267734,1.0,2.750334714245963,0.9980000257492065,12.175166739364006,0.9359999895095825,6.115144400829061,0.9309999942779541,3.115455442344751,0.9959999918937683,4.976741767041722,0.9890000224113464,4.1971730562521286,0.996999979019165
38,3.708028250655632,1.0,2.4167282490282096,0.9990000128746033,2.9427825224592796,0.9990000128746033,,,,,,,2.530661270937042,1.0,1.4613284496843646,1.0,1.8671131081279577,1.0,2.3210823464700554,0.9959999918937683,3.1452691648271065,0.9649999737739563,4.792365502830829,0.9769999980926514,3.971988377947485,0.9950000047683716,9.341970416321388,0.9890000224113464,2.67110138770681,0.996999979019165
39,2.4575321361910274,1.0,5.060946441406847,1.0,0.8623340097195257,0.9990000128746033,,,,,,,0.5552963111645576,1.0,2.777355683585988,1.0,0.764625171311727,1.0,0.8695690363444006,0.9980000257492065,6.669708278013656,0.9789999723434448,3.451105198602106,0.9459999799728394,1.2899896458625228,0.9959999918937683,2.0157596556365984,0.984000027179718,1.7885299971004018,0.9980000257492065
40,1.9202054596022846,1.0,2.427810026580297,0.9990000128746033,1.657338592433568,0.9990000128746033,,,,,,,1.8061023321988978,1.0,1.2215159043386985,1.0,2.35172522186277,1.0,1.7784109148645986,0.9919999837875366,8.272520122617166,0.9369999766349792,2.040179257612789,0.9679999947547913,6.2947753650604295,0.9950000047683716,5.459811706227544,0.9879999756813049,5.15624877977619,0.9950000047683716
41,1.7430414131776009,1.0,1.8368539737644356,0.9990000128746033,2.400504780374449,0.9990000128746033,,,,,,,2.8609753302354175,1.0,4.3789293950748025,1.0,2.186533208881271,1.0,2.1206782634714187,0.9959999918937683,1.254540070432244,0.8830000162124634,2.4067835961817283,0.9520000219345093,2.5754594314230834,0.9959999918937683,2.3039955638139786,0.9900000095367432,3.9298452989198895,0.9919999837875366
42,3.517101881092769,1.0,3.5012297501506424,0.9990000128746033,2.088002915025653,0.9990000128746033,,,,,,,1.4412037707509553,1.0,2.833307381697193,1.0,2.3827997114101658,1.0,2.8997185492744357,0.996999979019165,2.574444306760332,0.9319999814033508,4.746542246398784,0.953000009059906,2.7425749892164424,0.9959999918937683,1.9739257225005968,0.9879999756813049,0.5104797627711215,0.9940000176429749
43,4.292642401543859,1.0,2.8014801875376025,0.9990000128746033,2.703189035456661,0.9980000257492065,,,,,,,0.80133896654772,1.0,2.8143350395030358,1.0,2.2050257652237195,1.0,1.0415221419433847,0.9700000286102295,8.006720197324181,0.9300000071525574,3.145648383307712,0.9580000042915344,2.227681327423415,0.9959999918937683,5.336085563055799,0.9879999756813049,2.825857184907911,0.9919999837875366
44,1.1218558628526425,1.0,3.8332174033432356,0.9990000128746033,4.9896425975599765,0.9990000128746033,,,,,,,1.532810735776737,1.0,2.568683646848315,1.0,3.2191588570422747,1.0,4.746241636871965,0.9860000014305115,2.5898654759406687,0.9359999895095825,5.35329416772478,0.9589999914169312,6.057215337948788,0.996999979019165,4.034973190788519,0.9900000095367432,4.341136176634718,0.9919999837875366
