scorer,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000,DLC_dlcrnetms5_make_tea_01052022Jan5shuffle1_40000
individuals,ind1,ind1,ind1,ind1,ind1,ind1,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,head,tail,tail,tail,cup_h,cup_h,cup_h,cup_m,cup_m,cup_m,cup_t,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_m,pitcher_t,pitcher_t,pitcher_t,tap_h,tap_h,tap_h,tap_m,tap_m,tap_m,tap_t,tap_t,tap_t
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
30,,,,,,,820.374,607.288,1.0,842.873,635.027,0.9980000257492065,857.909,672.425,0.9990000128746033,489.448,304.365,0.9909999966621399,555.722,427.294,0.9829999804496765,605.675,552.433,0.9879999756813049,493.88,41.935,0.9919999837875366,535.238,103.782,0.9879999756813049,560.794,190.37,0.9980000257492065
31,,,,,,,820.142,607.288,1.0,842.846,635.242,0.9980000257492065,860.202,669.196,0.9990000128746033,489.448,304.365,0.9890000224113464,555.738,427.294,0.9769999980926514,605.675,552.166,0.9919999837875366,493.807,41.935,0.9909999966621399,535.398,103.853,0.9869999885559082,560.794,190.364,0.996999979019165
32,,,,,,,819.919,607.517,1.0,842.242,636.438,0.9959999918937683,866.032,666.721,1.0,489.448,304.365,0.9890000224113464,555.953,427.294,0.9739999771118164,606.466,551.51,0.9929999709129333,493.671,41.935,0.9890000224113464,535.509,103.897,0.9879999756813049,560.794,190.37,0.9980000257492065
33,854.237,347.88,0.9990000128746033,846.519,391.299,0.9990000128746033,819.919,607.614,1.0,842.242,636.84,0.9959999918937683,866.466,666.721,0.9990000128746033,489.785,304.285,0.9879999756813049,555.959,427.163,0.9819999933242798,606.75,551.423,0.9940000176429749,493.671,41.878,0.9900000095367432,535.509,103.945,0.9879999756813049,560.829,190.517,0.9980000257492065
34,853.344,347.88,0.9990000128746033,846.494,391.299,0.9990000128746033,819.919,607.635,1.0,842.242,638.156,0.996999979019165,866.466,666.721,0.9990000128746033,489.852,304.285,0.9869999885559082,556.02,427.132,0.9800000190734863,607.117,551.233,0.9940000176429749,493.671,41.878,0.9890000224113464,535.4,103.971,0.9879999756813049,560.829,190.539,0.9980000257492065
35,852.744,347.88,0.9990000128746033,846.423,391.299,0.9990000128746033,820.487,608.705,1.0,844.738,639.164,0.996999979019165,866.032,666.783,0.9990000128746033,489.968,304.285,0.984000027179718,556.308,426.587,0.9869999885559082,607.224,551.233,0.9940000176429749,493.683,41.869,0.9900000095367432,535.398,103.973,0.9869999885559082,560.86,190.543,0.996999979019165
36,852.744,347.993,0.9990000128746033,846.423,392.4,0.9980000257492065,821.019,609.698,1.0,844.766,640.451,0.9959999918937683,865.535,667.181,0.9990000128746033,490.131,304.356,0.9829999804496765,556.02,426.294,0.9869999885559082,607.424,551.104,0.9940000176429749,493.722,41.892,0.9919999837875366,535.4,103.981,0.9869999885559082,560.865,190.557,0.9980000257492065
37,852.744,347.993,0.9990000128746033,846.099,392.4,0.9980000257492065,821.021,609.698,1.0,844.766,640.513,0.996999979019165,865.472,667.181,0.9990000128746033,490.131,304.409,0.9829999804496765,556.02,426.144,0.9879999756813049,607.461,551.104,0.9929999709129333,493.733,41.869,0.9909999966621399,535.371,104.047,0.9860000014305115,560.865,190.557,0.9980000257492065
38,852.897,347.993,0.9990000128746033,846.099,392.4,0.9980000257492065,821.78,609.698,1.0,844.738,640.544,0.996999979019165,865.46,667.181,0.9990000128746033,490.131,304.523,0.984000027179718,551.683,422.211,0.9919999837875366,607.461,551.328,0.9909999966621399,493.733,41.857,0.9909999966621399,535.346,104.099,0.9860000014305115,560.904,190.543,0.9980000257492065
39,852.897,347.693,0.9990000128746033,845.794,392.39,0.9980000257492065,822.243,609.427,1.0,844.161,640.513,0.996999979019165,860.028,666.925,0.9990000128746033,490.1,304.523,0.9829999804496765,551.65,422.196,0.9919999837875366,607.438,551.43,0.9919999837875366,493.733,41.81,0.9909999966621399,535.28,104.159,0.9869999885559082,560.914,190.397,0.9980000257492065
