scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
49,581.128,170.974,0.9890000224113464,603.759,227.538,1.0,624.844,306.386,1.0,635.522,361.587,1.0,649.794,422.18,0.9929999709129333
50,581.128,170.974,1.0,603.189,228.644,0.9990000128746033,625.451,306.386,1.0,635.552,361.587,1.0,649.849,422.1,0.9990000128746033
51,581.128,170.974,1.0,603.759,227.538,1.0,626.499,306.16,1.0,635.552,361.587,1.0,650.095,421.853,0.9940000176429749
52,581.128,171.026,0.9990000128746033,604.009,227.232,1.0,626.499,305.87,1.0,635.552,361.587,1.0,650.455,421.795,0.9760000109672546
53,580.265,171.026,0.9980000257492065,604.009,227.232,0.9980000257492065,625.451,305.355,1.0,635.599,361.372,1.0,651.953,420.42,0.4560000002384186
54,580.265,171.099,0.9990000128746033,598.624,227.904,1.0,625.451,306.16,1.0,635.599,361.372,0.9990000128746033,659.915,420.202,0.02800000086426735
55,580.265,171.101,0.9990000128746033,596.704,227.904,0.9950000047683716,619.017,302.431,0.9890000224113464,635.371,361.298,1.0,659.915,419.853,0.22499999403953552
56,580.265,171.382,0.9990000128746033,596.011,229.038,0.8700000047683716,618.416,301.058,1.0,635.713,357.532,0.9909999966621399,659.915,419.853,0.07800000160932541
57,581.324,172.57,1.0,595.749,230.439,1.0,612.278,300.872,0.9760000109672546,628.716,355.95,0.9879999756813049,652.268,420.202,0.02500000037252903
58,581.324,172.884,0.14399999380111694,588.031,235.632,1.0,612.278,300.298,0.8209999799728394,628.716,355.95,1.0,652.246,420.714,0.925000011920929
59,578.731,172.994,0.9990000128746033,588.031,235.632,1.0,612.278,300.298,0.7409999966621399,636.251,355.95,0.9959999918937683,650.419,421.141,0.9980000257492065
60,578.731,172.994,1.0,588.031,235.632,1.0,620.064,300.756,0.9980000257492065,636.513,361.106,1.0,650.419,421.989,1.0
61,578.731,172.996,1.0,590.283,233.89,1.0,620.064,300.707,0.5979999899864197,636.513,361.106,0.9980000257492065,650.419,422.004,0.996999979019165
62,577.34,173.295,1.0,592.526,229.327,1.0,620.695,300.756,1.0,637.567,361.392,0.9990000128746033,650.554,422.207,0.5120000243186951
63,577.556,173.295,1.0,594.14,229.254,1.0,625.433,300.85,1.0,638.07,361.106,0.9700000286102295,651.106,423.414,0.9419999718666077
64,577.556,173.52,1.0,595.334,228.459,1.0,625.433,300.85,1.0,638.07,361.084,0.996999979019165,651.342,423.414,1.0
65,577.556,173.52,1.0,596.935,228.098,0.9990000128746033,625.433,300.707,0.9990000128746033,638.07,360.539,0.9890000224113464,651.342,423.414,0.996999979019165
66,579.986,173.295,1.0,604.898,226.749,1.0,626.703,300.34,0.7129999995231628,638.363,358.354,1.0,651.707,422.641,0.9990000128746033
67,581.504,173.065,1.0,607.634,226.664,0.9990000128746033,628.246,300.34,0.5210000276565552,638.363,358.354,1.0,659.071,421.908,0.9919999837875366
68,582.759,172.618,1.0,608.483,226.664,1.0,628.246,299.951,0.9990000128746033,637.966,360.539,1.0,659.071,421.908,0.8849999904632568
69,582.759,172.21,1.0,609.382,226.664,1.0,627.879,300.34,0.49900001287460327,637.966,360.595,0.7639999985694885,651.719,422.641,0.5709999799728394
70,582.172,171.954,1.0,610.026,226.664,1.0,627.879,300.35,0.9980000257492065,637.764,361.018,0.9879999756813049,651.707,422.784,1.0
71,582.172,170.238,1.0,611.115,225.99,1.0,628.148,300.364,0.7730000019073486,637.613,361.018,0.9950000047683716,651.68,422.784,0.9810000061988831
72,582.161,170.137,1.0,611.343,225.744,1.0,627.879,300.76,0.6690000295639038,637.613,361.331,0.9860000014305115,651.131,422.784,0.9819999933242798
73,582.161,170.137,1.0,611.795,225.417,0.9990000128746033,628.148,300.76,0.23800000548362732,636.736,361.331,0.9160000085830688,651.131,422.544,0.968999981880188
74,582.172,170.238,1.0,611.795,225.417,0.9990000128746033,629.072,300.364,0.11100000143051147,636.726,361.559,0.9760000109672546,651.119,422.544,0.9729999899864197
75,587.682,170.263,1.0,611.866,225.057,0.9990000128746033,635.366,299.958,0.16899999976158142,636.726,361.684,0.9399999976158142,651.131,422.544,0.9670000076293945
76,587.736,170.263,1.0,612.011,224.973,0.9990000128746033,635.366,299.958,0.15199999511241913,636.726,361.684,0.9919999837875366,651.131,422.608,0.9959999918937683
77,588.085,170.402,0.9990000128746033,612.011,224.973,1.0,635.366,292.725,0.17399999499320984,636.53,361.559,0.8730000257492065,651.119,422.735,0.9980000257492065
78,588.616,170.402,1.0,612.593,224.973,1.0,628.866,299.958,0.593999981880188,636.382,361.288,0.9190000295639038,650.669,422.771,0.996999979019165
79,588.616,170.599,1.0,612.427,225.098,1.0,628.866,299.958,0.3440000116825104,636.53,360.829,0.9520000219345093,650.669,422.771,0.9599999785423279
80,588.616,171.023,1.0,612.011,225.449,1.0,627.707,299.262,0.5210000276565552,636.53,360.785,0.6899999976158142,650.474,422.771,0.9850000143051147
