scorer,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000,DLC_dlcrnetms5_make_tea_pitcherJan29shuffle1_110000
individuals,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher,pitcher
bodyparts,bodypart1,bodypart1,bodypart1,bodypart2,bodypart2,bodypart2,bodypart3,bodypart3,bodypart3,bodypart4,bodypart4,bodypart4,bodypart5,bodypart5,bodypart5
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
75,587.682,171.005,1.0,611.866,225.417,0.9990000128746033,635.622,292.715,0.16899999976158142,636.736,361.559,0.9399999976158142,651.219,422.544,0.9670000076293945
76,587.736,170.263,1.0,619.211,221.478,0.9990000128746033,635.828,292.725,0.15199999511241913,636.057,363.027,0.9919999837875366,651.119,422.735,0.9959999918937683
77,588.085,170.402,0.9990000128746033,618.909,221.101,1.0,635.366,299.958,0.17399999499320984,637.115,361.684,0.8730000257492065,651.204,423.033,0.9980000257492065
78,589.562,170.172,1.0,612.011,224.973,1.0,619.399,300.092,0.593999981880188,636.382,360.829,0.9190000295639038,650.41,422.608,0.996999979019165
79,589.803,170.599,1.0,611.858,225.687,1.0,627.707,291.646,0.3440000116825104,636.53,360.785,0.9520000219345093,650.474,422.864,0.9599999785423279
80,588.616,171.023,1.0,612.593,225.449,1.0,628.866,300.554,0.5210000276565552,635.619,361.288,0.6899999976158142,650.669,422.771,0.9850000143051147
81,582.173,171.55,1.0,612.427,225.098,1.0,634.042,284.685,0.5509999990463257,636.538,360.61,0.7459999918937683,650.731,422.078,0.9810000061988831
82,581.431,171.247,1.0,611.197,226.1,1.0,626.648,299.262,0.996999979019165,637.684,360.657,0.9990000128746033,649.408,422.931,0.9990000128746033
83,582.329,170.977,1.0,612.754,226.594,1.0,621.55,298.735,0.9990000128746033,637.582,360.678,0.996999979019165,650.976,423.847,1.0
84,588.281,171.567,1.0,612.297,226.373,1.0,622.524,298.062,0.9990000128746033,638.418,360.982,1.0,652.352,424.9,0.9990000128746033
85,581.677,170.218,1.0,614.481,222.963,1.0,619.275,299.441,0.8009999990463257,640.263,363.237,1.0,660.05,423.055,0.9990000128746033
86,580.343,170.577,0.9990000128746033,611.588,226.008,1.0,621.687,308.01,0.9850000143051147,637.138,361.619,0.996999979019165,660.757,421.343,0.9620000123977661
