scorer,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan,luke_yinghan
individuals,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single
bodyparts,head,head,tail,tail,head,head,tail,tail,cup_h,cup_h,cup_m,cup_m,cup_t,cup_t,pitcher_h,pitcher_h,pitcher_m,pitcher_m,pitcher_t,pitcher_t,tap_h,tap_h,tap_m,tap_m,tap_t,tap_t
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
37,3.7877864903824356,1.0,2.0704906439634065,1.0,3.3278754162614614,1.0,0.46974864481593515,1.0,2.185884733104839,1.0,2.8207669609852504,1.0,2.11429085094442,1.0,4.150203555376494,0.9769999980926514,9.280565511877436,0.8669999837875366,4.616785863345601,0.9649999737739563,2.451092210641771,0.9980000257492065,1.1451986471776159,0.9919999837875366,2.1376778624746935,0.9950000047683716
38,3.697340360506436,1.0,2.4257120382720143,1.0,1.506791895340297,1.0,2.368678968022783,1.0,3.239570876386525,1.0,3.2618753850644393,1.0,3.3916834142547594,1.0,5.85242152679013,0.8970000147819519,1.4893981391219087,0.8930000066757202,7.033170300877016,0.9860000014305115,2.360625160377853,0.9990000128746033,5.257946901686948,0.9929999709129333,4.544102835402997,0.9950000047683716
39,5.308151443872386,1.0,3.43794008744392,1.0,1.2591416850455068,1.0,1.7836626578891333,1.0,1.9764737433578212,1.0,1.527254692327989,1.0,1.7320355166388703,1.0,3.35377241717052,0.9580000042915344,7.929120653333888,0.8899999856948853,6.383890136888764,0.9869999885559082,4.193865912502322,0.9990000128746033,4.233365017182999,0.9929999709129333,2.0203269366340835,0.9950000047683716
40,2.520688501111465,1.0,5.765409436756857,1.0,2.720430552366185,1.0,1.5935045893274864,1.0,2.404885595251442,1.0,2.316575038111011,1.0,1.3591227231692666,1.0,2.6806518662665653,0.9929999709129333,10.333547634545905,0.8240000009536743,1.6467398542317562,0.9819999933242798,2.010319332985417,0.9990000128746033,5.558342049035714,0.9940000176429749,1.3147396101572943,0.9959999918937683
41,1.008841554944038,1.0,5.586751898206473,0.9990000128746033,2.143295012310137,1.0,2.714457941844542,1.0,2.107282496094927,1.0,2.2068309237964328,1.0,2.0789949821046894,1.0,3.5626352304389473,0.9470000267028809,13.536733594530068,0.8399999737739563,2.0082765233776705,0.9829999804496765,1.4682383012670928,0.9990000128746033,3.722846650794991,0.9929999709129333,3.086166452582248,0.9959999918937683
42,1.7466439208352331,1.0,3.669015299698814,0.9990000128746033,3.5801818512972767,1.0,0.8680379807428142,1.0,0.6124556436961858,1.0,0.6158955138713699,1.0,3.836221052850353,1.0,6.944785095356545,0.984000027179718,6.64011065805109,0.8510000109672546,6.203293027229912,0.9819999933242798,1.8509900776339359,0.9990000128746033,1.3353890883051047,0.9929999709129333,3.567569660615663,0.9950000047683716
43,2.458400132326743,1.0,3.587321735573824,0.9990000128746033,2.2106530023683613,1.0,1.6314308105685333,1.0,1.0945613073120393,1.0,1.6957256086594699,1.0,1.7599780746696185,1.0,3.399525507354849,0.9710000157356262,9.978451502332677,0.8970000147819519,5.374813334231074,0.9779999852180481,5.047137486063586,0.9980000257492065,3.8814686273523464,0.9919999837875366,1.8371823431960437,0.9959999918937683
44,3.865658528173468,1.0,3.1702282216732325,0.9990000128746033,2.316822915087699,1.0,3.5016784619043992,1.0,3.61237641389985,1.0,2.197614533929655,1.0,1.8357947774976588,1.0,1.439942893890011,0.972000002861023,5.963029454097319,0.8809999823570251,1.7476519031423352,0.9679999947547913,2.757260919547098,0.9980000257492065,5.356142233635953,0.9919999837875366,6.042372830015474,0.9950000047683716
45,4.3281168933573015,1.0,0.6805878590179604,0.9990000128746033,1.6680858001255217,1.0,3.2835374397445674,1.0,7.300203258891451,1.0,3.5054859060312795,1.0,3.0576143448070696,1.0,0.6129593593648699,0.9919999837875366,4.305813934747387,0.8880000114440918,4.901019999694197,0.9850000143051147,2.0865523324830106,0.9980000257492065,6.4430104174424825,0.9919999837875366,4.510178437441799,0.9950000047683716
46,1.832319889016283,1.0,3.0118100621766004,0.9990000128746033,1.3559782263153959,1.0,2.147599278548447,1.0,0.16135475714969685,1.0,0.14866644603048437,1.0,1.581518400791751,1.0,1.0259405155175136,0.9789999723434448,2.5665990032134123,0.9110000133514404,1.9680869292507153,0.9750000238418579,3.3674950176316716,0.996999979019165,4.438747984788893,0.9919999837875366,1.7145807088008032,0.9950000047683716
